title,sub_title,description,sac_code,rate
Supporting services in transport,"Supporting services for water transport (coastal, transoceanic and inland waterways) ",Vessel salvage and refloating services,SAC 996753,18
Supporting services in transport,"Supporting services for water transport (coastal, transoceanic and inland waterways) ",Pilotage and berthing services,SAC 996752,18
Supporting services in transport,Supporting services for road transport ,Other supporting services for road transport n.e.c.,SAC 996749,18
Supporting services in transport,Supporting services for road transport ,Towing services for commercial and private vehicles,SAC 996744,18
Passenger transport services,Long-distance transport services of passengers ,Domestic/International Scheduled Air transport services of passengers,SAC 996425,18
Supporting services in transport,Supporting services for road transport ,Parking lot services,SAC 996743,18
Supporting services in transport,"Supporting services for water transport (coastal, transoceanic and inland waterways) ","Port and waterway operation services (excl. cargo handling) such as operation services of ports, docks, light houses, light ships etc",SAC 996751,18
Passenger transport services,Long-distance transport services of passengers ,Other long-distance transportation services of passengers n.e.c.,SAC 996429,18
Supporting services in transport,Supporting services for road transport ,"Operation services of National Highways, State Highways, Expressways, Roads & streets; bridges and tunnel operation services.",SAC 996742,   
Passenger transport services,Long-distance transport services of passengers ,Space transport services of passengers,SAC 996427,18
Passenger transport services,Long-distance transport services of passengers ,"Coastal and transoceanic (overseas) water transport services of passengers by Ferries, Cruise Ships etc",SAC 996424,18
Passenger transport services,Long-distance transport services of passengers ,Domestic/international non-scheduled air transport services of Passengers,SAC 996426,18
Passenger transport services,Long-distance transport services of passengers ,"Long-distance transport services of passengers through Rail network by Railways, Metro etc",SAC 996421,18
Passenger transport services,Long-distance transport services of passengers ,"Long-distance transport services of passengers through Road by Bus, Car, non-scheduled long distance bus and coach services, stage carriage etc",SAC 996422,18
Passenger transport services,Local transport and sightseeing transportation services of passengers ,Other local transportation services of passengers n.e.c.,SAC 996419,18
Passenger transport services,Local transport and sightseeing transportation services of passengers ,"Sightseeing transportation services by rail, land, water & air",SAC 996416,18
Passenger transport services,Local transport and sightseeing transportation services of passengers ,Other assembly and erection services n.e.c.,SAC 996414,18
Passenger transport services,Local transport and sightseeing transportation services of passengers ,"Local water transport services of passengers by ferries, cruises etc",SAC 996415,18
Passenger transport services,Long-distance transport services of passengers ,Taxi services including radio taxi & other similar services,SAC 996423,18
Passenger transport services,Local transport and sightseeing transportation services of passengers ,Non-scheduled local bus and coach charter services,SAC 996413,18
Passenger transport services,Local transport and sightseeing transportation services of passengers ,Taxi services including radio taxi & other similar services;,SAC 996412,   
Passenger transport services,Local transport and sightseeing transportation services of passengers ,"Local land transport services of passengers by railways, metro, monorail, bus, tramway, autos, three wheelers, scooters and other motor vehicles",SAC 996411,18
Goods Transport Services,Air and space transport services of goods ,Space transport services of freight,SAC 996532,18
Goods Transport Services,Land transport services of Goods ,Other land transport services of goods n.e.c.,SAC 996519,18
Goods Transport Services,Water transport services of goods ,"Coastal and transoceanic (overseas) water transport services of goods by refrigerator vessels, tankers, bulk cargo vessels, container ships etc",SAC 996521,18
Goods Transport Services,Air and space transport services of goods ,Air transport services of letters & parcels and other goods,SAC 996531,18
Goods Transport Services,Land transport services of Goods ,"Transport services of petroleum & natural gas, water, sewerage and other goods via pipeline",SAC 996513,18
Goods Transport Services,Water transport services of goods ,"Inland water transport services of goods by refrigerator vessels, tankers and other vessels.",SAC 996522,0
Goods Transport Services,Land transport services of Goods ,"Railway transport services of Goods including letters, parcels, live animals, household & office furniture, intermodal containers, bulk cargo etc",SAC 996512,   
Goods Transport Services,Land transport services of Goods ,"Road transport services of Goods including letters, parcels, live animals, household & office furniture, containers etc by refrigerator vehicles, trucks, trailers, man or animal drawn vehicles or any other vehicles.",SAC 996511,0
Rental services of transport vehicles with or without operators,Rental services of transport vehicles with or without operators ,"Rental services of water vessels including passenger vessels, freight vessels etc with or without operator",SAC 996602,18
Rental services of transport vehicles with or without operators,Rental services of transport vehicles with or without operators ,"Rental services of road vehicles including buses, coaches, cars, trucks and other motor vehicles, with or without operator",SAC 996601,18
Supporting services in transport,Supporting services for road transport ,Bus station services,SAC 996741,18
Supporting services in transport,Supporting services for railway transport ,Other supporting services for railway transport n.e.c,SAC 996739,18
