title,sub_title,description,sac_code,rate
Leasing or rental services with or without operator,Leasing or rental services concerning machinery and equipment with or without operator ,Leasing or rental services concerning computers with or without operators,SAC 997315,18
Leasing or rental services with or without operator,Leasing or rental services concerning machinery and equipment with or without operator ,Leasing or rental services concerning agricultural machinery and equipment with or without operator,SAC 997312,0
Leasing or rental services with or without operator,Leasing or rental services concerning machinery and equipment with or without operator ,Leasing or rental services concerning construction machinery and equipment with or without operator,SAC 997313,18
Leasing or rental services with or without operator,Leasing or rental services concerning machinery and equipment with or without operator ,"Leasing or rental services concerning transport equipments including containers, with or without operator",SAC 997311,18
Leasing or rental services with or without operator,Leasing or rental services concerning machinery and equipment with or without operator ,Leasing or rental services concerning office machinery and equipment (except computers) with or without operator,SAC 997314,18
Legal and accounting services,Tax consultancy and preparation services ,Individual tax preparation and planning services,SAC 998232,18
Legal and accounting services,Insolvency and receivership services ,Insolvency and receivership services,SAC 998240,18
Legal and accounting services,Tax consultancy and preparation services ,Corporate tax consulting and preparation services,SAC 998231,18
Legal and accounting services,"Accounting, auditing and bookkeeping services ",Other similar services n.e.c,SAC 998224,18
Legal and accounting services,"Accounting, auditing and bookkeeping services ",Payroll services,SAC 998223,18
Legal and accounting services,"Accounting, auditing and bookkeeping services ",Accounting and bookkeeping services,SAC 998222,18
Legal and accounting services,"Accounting, auditing and bookkeeping services ",Financial auditing services,SAC 998221,18
Legal and accounting services,Legal services ,Other legal services n.e.c.,SAC 998216,18
Legal and accounting services,Legal services ,Arbitration and conciliation services,SAC 998215,18
Legal and accounting services,Legal services ,Legal documentation and certification services concerning other documents.,SAC 998214,18
Legal and accounting services,Legal services ,"Legal documentation and certification services concerning patents, copyrights and other intellectual property rights.",SAC 998213,18
Legal and accounting services,Legal services ,Legal advisory and representation services concerning other fields of law.,SAC 998212,18
"Other professional, technical and business services","Other professional, technical and business services. ",Scientific and technical consulting services,SAC 998393,18
Legal and accounting services,Legal services ,Legal advisory and representation services concerning criminal law.,SAC 998211,18
"Other professional, technical and business services","Other professional, technical and business services. ",Design originals,SAC 998392,18
"Other professional, technical and business services","Other professional, technical and business services. ","Specialty design services including interior design, fashion design, industrial design and other specialty design services",SAC 998391,18
"Other professional, technical and business services",Photography & Videography and their processing services ,Photographic & videographic processing services,SAC 998386,18
"Other professional, technical and business services",Photography & Videography and their processing services ,Restoration and retouching services of photography,SAC 998385,18
"Other professional, technical and business services",Photography & Videography and their processing services ,Other Photography & Videography and their processing services n.e.c.,SAC 998387,18
"Other professional, technical and business services",Photography & Videography and their processing services ,Specialty photography services,SAC 998384,18
"Other professional, technical and business services",Photography & Videography and their processing services ,Portrait photography services,SAC 998381,18
"Other professional, technical and business services",Photography & Videography and their processing services ,Event photography and event videography services,SAC 998383,18
"Other professional, technical and business services",Photography & Videography and their processing services ,Advertising and related photography services,SAC 998382,18
"Other professional, technical and business services",Market research and public opinion polling services ,Public opinion polling services,SAC 998372,18
"Other professional, technical and business services",Market research and public opinion polling services ,Market research services,SAC 998371,18
"Other professional, technical and business services",Advertising services and provision of advertising space or time. ,Sale of other advertising space or time (except on commission),SAC 998366,18
"Other professional, technical and business services",Advertising services and provision of advertising space or time. ,Sale of Internet advertising space,SAC 998365,18
"Other professional, technical and business services",Advertising services and provision of advertising space or time. ,Sale of TV and radio advertising time,SAC 998364,18
"Other professional, technical and business services",Advertising services and provision of advertising space or time. ,Sale of advertising space in print media (except on commission),SAC 998363,5
"Other professional, technical and business services",Advertising services and provision of advertising space or time. ,"Purchase or sale of advertising space or time, on commission",SAC 998362,18
"Other professional, technical and business services",Advertising services and provision of advertising space or time. ,Advertising Services,SAC 998361,18
"Other professional, technical and business services",Veterinary services ,Other veterinary services n.e.c.,SAC 998359,18
"Other professional, technical and business services",Veterinary services ,Veterinary services for livestock,SAC 998352,0
"Other professional, technical and business services",Veterinary services ,Veterinary services for pet animals,SAC 998351,0
"Other professional, technical and business services",Scientific and other technical services ,Certification and authentication of works of art,SAC 998348,18
"Other professional, technical and business services",Scientific and other technical services ,Technical testing and analysis services,SAC 998346,18
"Other professional, technical and business services",Scientific and other technical services ,"Certification of ships, aircraft, dams, etc.",SAC 998347,18
"Other professional, technical and business services",Scientific and other technical services ,Other technical and scientific services n.e.c.,SAC 998349,18
"Other professional, technical and business services",Scientific and other technical services ,Surface surveying and map-making services,SAC 998344,18
"Other professional, technical and business services",Scientific and other technical services ,Mineral exploration and evaluation,SAC 998343,18
"Other professional, technical and business services",Scientific and other technical services ,Geological and geophysical consulting services,SAC 998341,18
"Other professional, technical and business services",Scientific and other technical services ,Weather forecasting and meteorological services,SAC 998345,18
"Other professional, technical and business services",Scientific and other technical services ,Subsurface surveying services,SAC 998342,18
"Other professional, technical and business services",Engineering services ,Engineering services for telecommunications and broadcasting projects,SAC 998336,18
"Other professional, technical and business services",Engineering services ,Engineering services for power projects,SAC 998335,18
"Other professional, technical and business services",Engineering services ,Project management services for construction projects,SAC 998339,18
"Other professional, technical and business services",Engineering services ,Engineering services for industrial and manufacturing projects,SAC 998333,18
"Other professional, technical and business services",Engineering services ,Engineering services for transportation projects,SAC 998334,18
"Other professional, technical and business services",Engineering services ,Engineering services for building projects,SAC 998332,18
"Other professional, technical and business services",Engineering services ,"Engineering services for waste management projects (hazardous and non-hazardous), for water, sewerage and drainage projects.",SAC 998337,18
"Other professional, technical and business services",Engineering services ,"Licensing services for the right to broadcast and show original films, sound recordings, radio and television programme etc.",SAC 998332,18
"Other professional, technical and business services",Engineering services ,Engineering services for other projects n.e.c.,SAC 998338,18
"Other professional, technical and business services",Engineering services ,Engineering advisory services,SAC 998331,18
"Other professional, technical and business services","Architectural services, urban and land planning and landscape architectural services ",Landscape architectural services and advisory services,SAC 998328,18
"Other professional, technical and business services","Architectural services, urban and land planning and landscape architectural services ",Project site master planning services,SAC 998327,18
"Other professional, technical and business services","Architectural services, urban and land planning and landscape architectural services ",Rural land planning services,SAC 998326,18
"Other professional, technical and business services","Architectural services, urban and land planning and landscape architectural services ",Urban planning services,SAC 998325,18
"Other professional, technical and business services","Architectural services, urban and land planning and landscape architectural services ",Historical restoration architectural services,SAC 998324,18
"Other professional, technical and business services","Architectural services, urban and land planning and landscape architectural services ",Architectural services for non-residential building projects,SAC 998323,18
"Other professional, technical and business services","Architectural services, urban and land planning and landscape architectural services ",Architectural advisory services,SAC 998321,18
"Other professional, technical and business services","Architectural services, urban and land planning and landscape architectural services ",Architectural services for residential building projects,SAC 998322,18
"Other professional, technical and business services",Management consulting and management services; information technology services. ,Other information technology services n.e.c,SAC 998319,18
"Other professional, technical and business services",Management consulting and management services; information technology services. ,IT infrastructure and network management services,SAC 998316,18
"Other professional, technical and business services",Management consulting and management services; information technology services. ,Hosting and information technology (IT) infrastructure provisioning services,SAC 998315,18
"Other professional, technical and business services",Management consulting and management services; information technology services. ,Information technology (IT) consulting and support services,SAC 998313,18
"Other professional, technical and business services",Management consulting and management services; information technology services. ,"Management consulting and management services including financial, strategic, human resources, marketing, operations and supply chain management.",SAC 998311,18
"Other professional, technical and business services",Management consulting and management services; information technology services. ,Information technology (IT) design and development services,SAC 998314,18
Support services,Other support services ,Other information services n.e.c.,SAC 998598,18
Support services,Other support services ,Landscape care and maintenance services,SAC 998597,18
Support services,Other support services ,"Events, Exhibitions, Conventions and trade shows organisation and assistance services",SAC 998596,18
Support services,Other support services ,"Specialized office support services such as duplicating services, mailing services, document preparation etc",SAC 998595,18
Support services,Other support services ,Combined office administrative services,SAC 998594,18
Support services,Other support services ,Telephone-based support services,SAC 998593,18
"Other professional, technical and business services",Management consulting and management services; information technology services. ,Business consulting services including pubic relations services,SAC 998312,18
Support services,Other support services ,Collection agency services,SAC 998592,18
Support services,"Travel arrangement, tour operator and related services ",Tourism promotion and visitor information services,SAC 998557,18
Support services,Other support services ,Credit reporting & rating services,SAC 998591,18
Support services,Other support services ,Other support services n.e.c.,SAC 998599,18
Support services,"Travel arrangement, tour operator and related services ",Other travel arrangement and related services n.e.c,SAC 998559,18
Support services,"Travel arrangement, tour operator and related services ",Tour operator services,SAC 998555,5
Support services,"Travel arrangement, tour operator and related services ",Tourist guide services,SAC 998556,18
Support services,"Travel arrangement, tour operator and related services ","Reservation services for accommodation, cruises and package tours",SAC 998552,18
Support services,"Travel arrangement, tour operator and related services ","Reservation services for convention centres, congress centres and exhibition halls",SAC 998553,18
Support services,Packaging services ,Other packaging services n.e.c,SAC 998549,18
Support services,"Travel arrangement, tour operator and related services ",Reservation services for transportation,SAC 998551,18
Support services,Packaging services ,Coin and currency packing services,SAC 998542,18
Support services,Packaging services ,Parcel packing and gift wrapping,SAC 998541,18
Support services,"Travel arrangement, tour operator and related services ","Reservation services for event tickets, cinema halls, entertainment and recreational services and other reservation services",SAC 998554,18
Support services,Packaging services ,Packaging services of goods for others,SAC 998540,18
Support services,Cleaning services ,Other cleaning services n.e.c.,SAC 998539,18
Support services,Cleaning services ,Cleaning of transportation equipment,SAC 998538,18
Support services,Cleaning services ,Exterior cleaning of buildings of all types,SAC 998537,18
Support services,Cleaning services ,Furnace and chimney cleaning services,SAC 998536,18
Support services,Cleaning services ,Sterilization of objects or premises (operating rooms),SAC 998535,18
Support services,Cleaning services ,General cleaning services,SAC 998533,18
Support services,Cleaning services ,Specialized cleaning services for reservoirs and tanks,SAC 998534,18
Support services,Cleaning services ,Window cleaning services,SAC 998532,18
Support services,Cleaning services ,Disinfecting and exterminating services,SAC 998531,18
Support services,Investigation and security services ,Fingerprinting services,SAC 998528,18
Support services,Investigation and security services ,Other security services n.e.c.,SAC 998529,18
Support services,Investigation and security services ,Polygraph services,SAC 998527,18
Support services,Investigation and security services ,Guard services,SAC 998525,18
Support services,Investigation and security services ,Armoured car services,SAC 998524,18
Support services,Investigation and security services ,Security systems services,SAC 998523,18
Support services,Investigation and security services ,Training of guard dogs,SAC 998526,18
Support services,Investigation and security services ,Security consulting services,SAC 998522,18
Support services,Investigation and security services ,Investigation services,SAC 998521,18
Support services,Employment services including personnel search/referral service & labour supply service ,Other employment & labour supply services n.e.c,SAC 998519,18
Support services,Employment services including personnel search/referral service & labour supply service ,Co-employment staffing services,SAC 998517,18
Support services,Employment services including personnel search/referral service & labour supply service ,Temporary staffing-to-permanent placement services,SAC 998516,18
Support services,Employment services including personnel search/referral service & labour supply service ,Long-term staffing (pay rolling) services,SAC 998515,18
Support services,Employment services including personnel search/referral service & labour supply service ,Temporary staffing services,SAC 998514,18
Support services,Employment services including personnel search/referral service & labour supply service ,Contract staffing services,SAC 998513,18
Support services,Employment services including personnel search/referral service & labour supply service ,"Permanent placement services, other than executive search services",SAC 998512,18
Support services,Employment services including personnel search/referral service & labour supply service ,Executive/retained personnel search services,SAC 998511,18
Manufacturing services on physical inputs (goods) owned by others,Other manufacturing services ,Other manufacturing services n.e.c.,SAC 998898,18
Manufacturing services on physical inputs (goods) owned by others,Other manufacturing services ,Medical and dental instrument and supply manufacturing services,SAC 998897,18
Manufacturing services on physical inputs (goods) owned by others,Other manufacturing services ,Game and toy manufacturing services,SAC 998896,18
Manufacturing services on physical inputs (goods) owned by others,Other manufacturing services ,Sports goods manufacturing services,SAC 998895,18
Manufacturing services on physical inputs (goods) owned by others,Other manufacturing services ,Musical instrument manufacturing services,SAC 998894,18
Manufacturing services on physical inputs (goods) owned by others,Other manufacturing services ,Imitation jewellery manufacturing services,SAC 998893,18
Manufacturing services on physical inputs (goods) owned by others,Other manufacturing services ,Jewellery manufacturing services,SAC 998892,18
Manufacturing services on physical inputs (goods) owned by others,Other manufacturing services ,Furniture manufacturing services,SAC 998891,18
Manufacturing services on physical inputs (goods) owned by others,Transport equipment manufacturing services ,Other transport equipment manufacturing services,SAC 998882,18
Manufacturing services on physical inputs (goods) owned by others,Transport equipment manufacturing services ,Motor vehicle and trailer manufacturing services,SAC 998881,18
Manufacturing services on physical inputs (goods) owned by others,"Fabricated metal product, machinery and equipment manufacturing services ",Special-purpose machinery manufacturing services,SAC 998877,18
Manufacturing services on physical inputs (goods) owned by others,"Fabricated metal product, machinery and equipment manufacturing services ",General-purpose machinery manufacturing services n.e.c.,SAC 998876,18
Manufacturing services on physical inputs (goods) owned by others,"Fabricated metal product, machinery and equipment manufacturing services ",Electrical equipment manufacturing services,SAC 998875,18
Manufacturing services on physical inputs (goods) owned by others,"Fabricated metal product, machinery and equipment manufacturing services ","Computer, electronic and optical product manufacturing services",SAC 998874,18
Manufacturing services on physical inputs (goods) owned by others,"Fabricated metal product, machinery and equipment manufacturing services ",Weapon and ammunition manufacturing services,SAC 998872,18
Manufacturing services on physical inputs (goods) owned by others,Basic metal manufacturing services ,Basic metal manufacturing services,SAC 998860,18
Manufacturing services on physical inputs (goods) owned by others,"Rubber, plastic and other non-metallic mineral product manufacturing service ",Other non-metallic mineral product manufacturing services,SAC 998853,18
Manufacturing services on physical inputs (goods) owned by others,"Fabricated metal product, machinery and equipment manufacturing services ",Other fabricated metal product manufacturing and metal treatment services,SAC 998873,18
Manufacturing services on physical inputs (goods) owned by others,"Rubber, plastic and other non-metallic mineral product manufacturing service ",Rubber and plastic product manufacturing services,SAC 998851,18
Manufacturing services on physical inputs (goods) owned by others,"Rubber, plastic and other non-metallic mineral product manufacturing service ",Plastic product manufacturing services,SAC 998852,18
Manufacturing services on physical inputs (goods) owned by others,"Fabricated metal product, machinery and equipment manufacturing services ","Structural metal product, tank, reservoir and steam generator manufacturing services",SAC 998871,18
Public administration and other services provided to the community as a whole; compulsory social security services,Administrative services related to compulsory social security schemes. ,Administrative services related to unemployment compensation benefit schemes,SAC 999133,18
Public administration and other services provided to the community as a whole; compulsory social security services,Administrative services related to compulsory social security schemes. ,Administrative services related to family and child allowance programmes,SAC 999134,18
Public administration and other services provided to the community as a whole; compulsory social security services,Administrative services related to compulsory social security schemes. ,"Administrative services related to government employee pension schemes; old-age disability or survivors’ benefit schemes, other than for government employees",SAC 999132,   
Public administration and other services provided to the community as a whole; compulsory social security services,Administrative services related to compulsory social security schemes. ,"Administrative services related to sickness, maternity or temporary disablement benefit schemes.",SAC 999131,18
Public administration and other services provided to the community as a whole; compulsory social security services,Public administrative services provided to the community as a whole ,Public administrative services related to other public order and safety affairs n.e.c.,SAC 999129,18
Public administration and other services provided to the community as a whole; compulsory social security services,Public administrative services provided to the community as a whole ,Public administrative services related to law courts,SAC 999127,18
Public administration and other services provided to the community as a whole; compulsory social security services,Public administrative services provided to the community as a whole ,Police and fire protection services,SAC 999126,18
Public administration and other services provided to the community as a whole; compulsory social security services,Public administrative services provided to the community as a whole ,Civil defence services,SAC 999125,18
Public administration and other services provided to the community as a whole; compulsory social security services,Public administrative services provided to the community as a whole ,Military defence services,SAC 999124,18
Public administration and other services provided to the community as a whole; compulsory social security services,Public administrative services provided to the community as a whole ,Administrative services related to the detention or rehabilitation of criminals.,SAC 999128,18
Public administration and other services provided to the community as a whole; compulsory social security services,Public administrative services provided to the community as a whole ,Services related to foreign economic aid,SAC 999122,18
Public administration and other services provided to the community as a whole; compulsory social security services,Public administrative services provided to the community as a whole ,"Public administrative services related to external affairs, diplomatic and consular services abroad.",SAC 999121,18
Public administration and other services provided to the community as a whole; compulsory social security services,Public administrative services provided to the community as a whole ,Services related to foreign military aid,SAC 999123,18
Public administration and other services provided to the community as a whole; compulsory social security services,Administrative services of the government ,Other administrative services of the government n.e.c.,SAC 999119,18
Public administration and other services provided to the community as a whole; compulsory social security services,Administrative services of the government ,"Public administrative services related to the provision of educational, health care, cultural and other social services, excluding social security service.",SAC 999112,18
Public administration and other services provided to the community as a whole; compulsory social security services,Administrative services of the government ,Public administrative services related to the more efficient operation of business.,SAC 999113,18
Public administration and other services provided to the community as a whole; compulsory social security services,Administrative services of the government ,Overall Government public services,SAC 999111,18
Manufacturing services on physical inputs (goods) owned by others,"Petroleum, chemical and pharmaceutical product manufacturing services ",Pharmaceutical product manufacturing services,SAC 998843,18
Manufacturing services on physical inputs (goods) owned by others,Wood and paper manufacturing services ,Paper and paper product manufacturing services,SAC 998832,18
Manufacturing services on physical inputs (goods) owned by others,"Textile, wearing apparel and leather manufacturing services ",Wearing apparel manufacturing services,SAC 998822,18
Manufacturing services on physical inputs (goods) owned by others,"Petroleum, chemical and pharmaceutical product manufacturing services ",Coke and refined petroleum product manufacturing services,SAC 998841,18
Manufacturing services on physical inputs (goods) owned by others,Wood and paper manufacturing services ,Wood and wood product manufacturing services,SAC 998831,18
Manufacturing services on physical inputs (goods) owned by others,"Textile, wearing apparel and leather manufacturing services ",Leather and leather product manufacturing services,SAC 998823,18
Manufacturing services on physical inputs (goods) owned by others,"Petroleum, chemical and pharmaceutical product manufacturing services ",Chemical product manufacturing services,SAC 998842,18
Manufacturing services on physical inputs (goods) owned by others,"Textile, wearing apparel and leather manufacturing services ",Textile manufacturing services,SAC 998821,18
Manufacturing services on physical inputs (goods) owned by others,"Food, beverage and tobacco manufacturing services ",Tobacco manufacturing services n.e.c.,SAC 998819,18
Manufacturing services on physical inputs (goods) owned by others,"Food, beverage and tobacco manufacturing services ",Prepared animal feeds manufacturing services,SAC 998817,18
Manufacturing services on physical inputs (goods) owned by others,"Food, beverage and tobacco manufacturing services ",Beverage manufacturing services,SAC 998818,18
Manufacturing services on physical inputs (goods) owned by others,"Food, beverage and tobacco manufacturing services ",Other food product manufacturing services,SAC 998816,18
Manufacturing services on physical inputs (goods) owned by others,"Food, beverage and tobacco manufacturing services ",Dairy product manufacturing services,SAC 998815,18
Manufacturing services on physical inputs (goods) owned by others,"Food, beverage and tobacco manufacturing services ",Vegetable and animal oil and fat manufacturing services,SAC 998814,18
Manufacturing services on physical inputs (goods) owned by others,"Food, beverage and tobacco manufacturing services ",Fruit and vegetables processing services,SAC 998813,18
Manufacturing services on physical inputs (goods) owned by others,"Food, beverage and tobacco manufacturing services ",Fish processing services,SAC 998812,0
Manufacturing services on physical inputs (goods) owned by others,"Food, beverage and tobacco manufacturing services ",Meat processing services,SAC 998811,0
"Other manufacturing services; publishing, printing and reproduction services; materials recovery services","Casting, forging, stamping and similar metal manufacturing services ",Non-ferrous metal casting services,SAC 998932,18
"Other manufacturing services; publishing, printing and reproduction services; materials recovery services","Moulding, pressing, stamping, extruding and similar plastic manufacturing services ","Moulding, pressing, stamping, extruding and similar plastic manufacturing services",SAC 998920,18
"Other manufacturing services; publishing, printing and reproduction services; materials recovery services","Publishing, printing and reproduction services ","Printing and reproduction services of recorded media, on a fee or contract basis",SAC 998912,18
"Other manufacturing services; publishing, printing and reproduction services; materials recovery services","Materials recovery (recycling) services, on a fee or contract basis ","Non-metal waste and scrap recovery (recycling) services, on a fee or contract basis",SAC 998942,18
"Other manufacturing services; publishing, printing and reproduction services; materials recovery services","Casting, forging, stamping and similar metal manufacturing services ",Iron and steel casting services,SAC 998931,18
"Other manufacturing services; publishing, printing and reproduction services; materials recovery services","Materials recovery (recycling) services, on a fee or contract basis ","Metal waste and scrap recovery (recycling) services, on a fee or contract basis",SAC 998941,18
"Other manufacturing services; publishing, printing and reproduction services; materials recovery services","Casting, forging, stamping and similar metal manufacturing services ","Metal forging, pressing, stamping, roll forming and powder metallurgy services",SAC 998933,18
"Other manufacturing services; publishing, printing and reproduction services; materials recovery services","Publishing, printing and reproduction services ","Publishing, on a fee or contract basis",SAC 998911,18
"Support services to agriculture, hunting, forestry, fishing, mining and utilities.","Support services to electricity, gas and water distribution ","Support services to Distribution services of steam, hot water and air-conditioning supply",SAC 998634,18
"Support services to agriculture, hunting, forestry, fishing, mining and utilities.","Support services to electricity, gas and water distribution ",Support services to water distribution,SAC 998633,18
"Support services to agriculture, hunting, forestry, fishing, mining and utilities.","Support services to electricity, gas and water distribution ",Support services to gas distribution,SAC 998632,18
"Support services to agriculture, hunting, forestry, fishing, mining and utilities.","Support services to electricity, gas and water distribution ",Support services to electricity transmission and distribution,SAC 998631,18
"Support services to agriculture, hunting, forestry, fishing, mining and utilities.",Support services to mining ,Support services to oil and gas extraction,SAC 998621,18
"Support services to agriculture, hunting, forestry, fishing, mining and utilities.",Support services to mining ,Support services to other mining n.e.c.,SAC 998622,18
"Support services to agriculture, hunting, forestry, fishing, mining and utilities.","Support services to agriculture, hunting, forestry and fishing ",Support services to fishing,SAC 998615,18
"Support services to agriculture, hunting, forestry, fishing, mining and utilities.","Support services to agriculture, hunting, forestry and fishing ",Support services to crop production,SAC 998611,0
Services of membership organizations,Services furnished by other membership organizations ,Home owners associations,SAC 999598,18
"Support services to agriculture, hunting, forestry, fishing, mining and utilities.","Support services to agriculture, hunting, forestry and fishing ",Support services to forestry and logging,SAC 998614,18
Services of membership organizations,Services furnished by other membership organizations ,Services provided by other membership organizations n.e.c.,SAC 999599,18
"Support services to agriculture, hunting, forestry, fishing, mining and utilities.","Support services to agriculture, hunting, forestry and fishing ",Animal husbandry services,SAC 998612,18
Services of membership organizations,Services furnished by other membership organizations ,Other civic and social organizations,SAC 999597,18
"Support services to agriculture, hunting, forestry, fishing, mining and utilities.","Support services to agriculture, hunting, forestry and fishing ","Other support services to agriculture, hunting, forestry and fishing",SAC 998619,18
"Support services to agriculture, hunting, forestry, fishing, mining and utilities.","Support services to agriculture, hunting, forestry and fishing ",Support services to hunting,SAC 998613,18
Services of membership organizations,Services furnished by other membership organizations ,Services provided by youth associationst,SAC 999596,   
Services of membership organizations,Services furnished by other membership organizations ,Services furnished by environmental advocacy groups,SAC 999595,18
Services of membership organizations,Services furnished by other membership organizations ,Services furnished by human rights organizations,SAC 999593,18
Services of membership organizations,Services furnished by other membership organizations ,Religious services,SAC 999591,18
Services of membership organizations,Services furnished by other membership organizations ,Cultural and recreational associations,SAC 999594,18
Services of membership organizations,Services furnished by other membership organizations ,Services furnished by political organizations,SAC 999592,18
Services of membership organizations,"Services furnished by business, employers and professional organizations Services ",Services furnished by professional organizations,SAC 999512,18
Services of membership organizations,Services furnished by trade unions ,Services furnished by trade unions,SAC 999520,18
Services of membership organizations,"Services furnished by business, employers and professional organizations Services ",Services furnished by business and employers organizations,SAC 999511,18
"Sewage and waste collection, treatment and disposal and other environmental protection services",Others ,Other environmental protection services n.e.c.,SAC 999490,18
"Sewage and waste collection, treatment and disposal and other environmental protection services",Sanitation and similar services ,Other sanitation services n.e.c.,SAC 999459,18
"Sewage and waste collection, treatment and disposal and other environmental protection services",Sanitation and similar services ,Sweeping and snow removal services,SAC 999451,18
Education services,Other education & training services and educational support services ,Other Educational support services,SAC 999299,18
"Sewage and waste collection, treatment and disposal and other environmental protection services",Remediation services ,"Containment, control and monitoring services and other site remediation services",SAC 999442,18
"Sewage and waste collection, treatment and disposal and other environmental protection services",Remediation services ,Building remediation services,SAC 999443,18
"Sewage and waste collection, treatment and disposal and other environmental protection services",Remediation services ,Other remediation services n.e.c.,SAC 999449,18
Education services,Other education & training services and educational support services ,services involving conduct of examination for admission to educational institutions,SAC 999295,18
Education services,Other education & training services and educational support services ,Other education and training services n.e.c.,SAC 999294,18
Education services,Other education & training services and educational support services ,Commercial training and coaching services,SAC 999293,18
Education services,Other education & training services and educational support services ,Sports and recreation education services,SAC 999292,18
Education services,Other education & training services and educational support services ,Cultural education services,SAC 999291,18
Education services,Higher education services ,Other higher education services,SAC 999249,18
Education services,Specialised education services ,Specialised education services,SAC 999259,18
Education services,Secondary Education Services ,"Secondary education services, technical and vocational.",SAC 999232,0
Education services,Higher education services ,"Higher education services, technical",SAC 999242,0
Education services,Secondary Education Services ,"Secondary education services, general",SAC 999231,0
Education services,Higher education services ,"Higher education services, vocational",SAC 999243,0
Education services,Higher education services ,"Higher education services, general",SAC 999241,0
Education services,Pre-primary education services ,Pre-primary education services,SAC 999210,0
Education services,Primary education services ,Primary education services,SAC 999220,0
Human health and social care services,Other social services without accommodation ,Welfare services without accommodation,SAC 999353,18
Human health and social care services,Other social services without accommodation ,Guidance and counseling services n.e.c. related to children,SAC 999352,0
Human health and social care services,Other social services without accommodation ,Child day-care services,SAC 999351,18
Human health and social care services,Social services without accommodation for the elderly and disabled ,Other social services without accommodation for the elderly and disabled n.e.c.,SAC 999349,0
Human health and social care services,Other social services with accommodation ,Other social services with accommodation for adults,SAC 999334,18
Human health and social care services,Social services without accommodation for the elderly and disabled ,Vocational rehabilitation services,SAC 999341,0
"Sewage and waste collection, treatment and disposal and other environmental protection services",Waste treatment and disposal services ,Non-hazardous waste treatment and disposal services,SAC 999433,18
Human health and social care services,Other social services without accommodation ,Other social services without accommodation n.e.c.,SAC 999359,18
"Sewage and waste collection, treatment and disposal and other environmental protection services",Waste treatment and disposal services ,"Waste preparation, consolidation and storage services",SAC 999431,18
"Sewage and waste collection, treatment and disposal and other environmental protection services",Waste treatment and disposal services ,Hazardous waste treatment and disposal services,SAC 999432,18
"Sewage and waste collection, treatment and disposal and other environmental protection services",Waste collection services ,"General waste collection services, other n.e.c.",SAC 999424,18
"Sewage and waste collection, treatment and disposal and other environmental protection services",Waste collection services ,"General waste collection services, residential",SAC 999423,18
"Sewage and waste collection, treatment and disposal and other environmental protection services",Waste collection services ,Collection services of non-hazardous recyclable materials,SAC 999422,18
"Sewage and waste collection, treatment and disposal and other environmental protection services",Waste collection services ,Collection services of hazardous waste,SAC 999421,18
"Sewage and waste collection, treatment and disposal and other environmental protection services","Sewerage, sewage treatment and septic tank cleaning services ",Septic tank emptying and cleaning services,SAC 999412,18
Human health and social care services,Other social services with accommodation ,"Residential care services for adults suffering from mental retardation, mental health illnesses or substance abuse",SAC 999333,0
Human health and social care services,Other social services with accommodation ,Other social services with accommodation for children,SAC 999332,18
Human health and social care services,Other social services with accommodation ,"Residential care services for children suffering from mental retardation, mental health illnesses or substance abuse",SAC 999331,0
Human health and social care services,Residential care services for the elderly and disabled ,Residential care services for the elderly and persons with disabilities,SAC 999322,0
"Sewage and waste collection, treatment and disposal and other environmental protection services","Sewerage, sewage treatment and septic tank cleaning services ",Sewerage and sewage treatment services,SAC 999411,18
Human health and social care services,Residential care services for the elderly and disabled ,Residential health-care services other than by hospitals,SAC 999321,18
Human health and social care services,Human health services ,"Other human health services including homeopathy, unani, ayurveda, naturopathy, acupuncture etc.",SAC 999319,0
Human health and social care services,Human health services ,"Blood, sperm and organ bank services",SAC 999317,0
Human health and social care services,Human health services ,Medical Laboratory and Diagnostic-imaging services,SAC 999316,0
Human health and social care services,Human health services ,Nursing and Physiotherapeutic services,SAC 999314,0
Human health and social care services,Human health services ,Childbirth and related services,SAC 999313,0
Human health and social care services,Human health services ,Inpatient services,SAC 999311,0
"Maintenance, repair and installation (except construction) services",Installation services (other than construction) ,"Installation services of radio, television and communications equipment and apparatus.",SAC 998734,18
"Maintenance, repair and installation (except construction) services",Installation services (other than construction) ,Installation services of office and accounting machinery and computers,SAC 998733,18
"Maintenance, repair and installation (except construction) services",Installation services (other than construction) ,"Installation services of industrial, manufacturing and service industry machinery and equipment.",SAC 998732,18
"Maintenance, repair and installation (except construction) services",Repair services of other goods ,Repair services for photographic equipment and cameras,SAC 998727,18
Human health and social care services,Human health services ,Medical and dental services,SAC 999312,0
Human health and social care services,Human health services ,Ambulance services,SAC 999315,0
"Maintenance, repair and installation (except construction) services",Repair services of other goods ,Maintenance and repair services of musical instruments,SAC 998726,18
"Maintenance, repair and installation (except construction) services",Repair services of other goods ,Repair services of bicycles,SAC 998725,18
"Maintenance, repair and installation (except construction) services",Repair services of other goods ,Repair services of furniture,SAC 998724,18
"Maintenance, repair and installation (except construction) services",Repair services of other goods ,Repair services of garments and household textiles,SAC 998723,5
"Maintenance, repair and installation (except construction) services",Repair services of other goods ,"Repair services of watches, clocks and jewellery",SAC 998722,18
"Maintenance, repair and installation (except construction) services","Maintenance and repair services of fabricated metal products, machinery and equipment ",Maintenance and repair services of other machinery and equipments,SAC 998719,18
